case_id,independent_reviewer,reviewed_at_utc,answer_assessment,evidence_assessment,failure_assessment,gold_change_proposed,disposition,notes
gsm-multi-03,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced both required values present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,both required answer components independently confirmed
gsm-multi-04,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced both required values present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,both required answer components independently confirmed
gsm-numeric-01,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct with required unit; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical numeric value and unit independently confirmed
gsm-numeric-02,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct with required unit; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical numeric value and unit independently confirmed
gsm-numeric-03,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct with required unit; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical numeric value and unit independently confirmed
gsm-numeric-04,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct with required unit; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical numeric value and unit independently confirmed
gsm-plain-01,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical answer independently confirmed
gsm-plain-02,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical answer independently confirmed
gsm-plain-03,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical answer independently confirmed
gsm-plain-04,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced needs-review retained as scorer limit; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical answer independently confirmed
gsm-table-01,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical table cell independently confirmed
gsm-table-02,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical table cell independently confirmed
gsm-table-03,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical table cell independently confirmed
gsm-table-04,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,canonical table cell independently confirmed
